direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:21:00+05:30,1507.8906000000002,663,2023-01-02 09:27:00+05:30,1509.4079,EMA CROSS UP,-1405.5898999998344
LONG,2023-01-02 09:51:00+05:30,1516.7151999999999,658,2023-01-02 09:57:00+05:30,1510.8876,EMA CROSS DOWN,-4232.4107999999
SHORT,2023-01-02 10:36:00+05:30,1508.5399499999999,659,2023-01-02 10:42:00+05:30,1511.3097999999998,EMA CROSS UP,-2223.0411499999377
LONG,2023-01-02 11:09:00+05:30,1514.9134,654,2023-01-02 11:15:00+05:30,1513.13535,EMA CROSS DOWN,-1558.9046999999305
SHORT,2023-01-02 14:21:00+05:30,1517.23125,652,2023-01-02 14:27:00+05:30,1521.5199999999998,EMA CROSS UP,-3192.30499999981
LONG,2023-01-02 14:48:00+05:30,1526.1245999999996,646,2023-01-02 14:54:00+05:30,1523.0254499999999,EMA CROSS DOWN,-2396.1508999998587
SHORT,2023-01-03 09:21:00+05:30,1519.82865,648,2023-01-03 09:27:00+05:30,1520.0685499999997,EMA CROSS UP,-549.7751999998748
LONG,2023-01-03 09:39:00+05:30,1527.4759499999998,644,2023-01-03 09:45:00+05:30,1523.42505,EMA CROSS DOWN,-3001.939599999825
SHORT,2023-01-03 12:12:00+05:30,1527.2712,642,2023-01-03 12:18:00+05:30,1529.2777499999997,EMA CROSS UP,-1681.0750999998932
LONG,2023-01-03 13:06:00+05:30,1528.7772499999999,640,2023-01-03 13:12:00+05:30,1525.92255,EMA CROSS DOWN,-2218.5379999999145
SHORT,2023-01-03 13:39:00+05:30,1523.0754,641,2023-01-03 13:45:00+05:30,1530.5289999999998,EMA CROSS UP,-5169.367599999887
LONG,2023-01-03 13:51:00+05:30,1529.8283,635,2023-01-03 13:57:00+05:30,1527.1713,EMA CROSS DOWN,-2076.294999999953
SHORT,2023-01-03 15:03:00+05:30,1526.472,635,2023-01-03 15:09:00+05:30,1525.5740499999997,EMA CROSS UP,181.39825000016793
LONG,2023-01-04 12:57:00+05:30,1500.0985999999998,646,2023-01-04 13:03:00+05:30,1497.95055,EMA CROSS DOWN,-1775.9902999998608
SHORT,2023-01-04 13:21:00+05:30,1494.6538500000001,648,2023-01-04 13:27:00+05:30,1502.1506499999998,EMA CROSS UP,-5246.806399999784
SHORT,2023-01-04 14:39:00+05:30,1501.1473500000002,641,2023-01-04 14:45:00+05:30,1500.0985999999998,EMA CROSS UP,285.9487500002449
LONG,2023-01-05 10:30:00+05:30,1495.6942,644,2023-01-05 10:36:00+05:30,1493.85465,EMA CROSS DOWN,-1571.020199999947
SHORT,2023-01-05 11:09:00+05:30,1492.4061000000002,644,2023-01-05 11:15:00+05:30,1494.9934999999998,EMA CROSS UP,-2052.3355999997816
