direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
LONG,2023-01-02 09:51:00+05:30,3258.2049499999994,306,2023-01-02 09:53:00+05:30,3250.746,CROSS_DOWN,-2680.3886999997785,-2282.4386999997787,89.63,308.32,397.95
SHORT,2023-01-02 10:26:00+05:30,3247.89885,307,2023-01-02 10:28:00+05:30,3254.7515,CROSS_UP,-2502.5335499999424,-2103.7635499999424,89.77,309.0,398.77
LONG,2023-01-02 11:01:00+05:30,3247.4441999999995,306,2023-01-02 11:03:00+05:30,3240.90585,CROSS_DOWN,-2397.6050999998024,-2000.7350999998025,89.41,307.46,396.87
SHORT,2023-01-02 11:37:00+05:30,3242.9538,306,2023-01-02 11:39:00+05:30,3251.6483999999996,CROSS_UP,-3057.677599999942,-2660.5475999999417,89.5,307.63,397.13
LONG,2023-01-02 11:42:00+05:30,3252.0988499999994,304,2023-01-02 11:44:00+05:30,3248.49825,CROSS_DOWN,-1489.9123999997882,-1094.5823999997883,89.07,306.26,395.33
SHORT,2023-01-02 12:27:00+05:30,3246.9498,304,2023-01-02 12:29:00+05:30,3254.1508999999996,CROSS_UP,-2584.3743999999297,-2189.13439999993,89.11,306.13,395.24
LONG,2023-01-02 12:34:00+05:30,3256.5032499999998,302,2023-01-02 12:36:00+05:30,3249.7969500000004,CROSS_DOWN,-2418.5425999998106,-2025.3025999998108,88.73,304.51,393.24
SHORT,2023-01-02 12:39:00+05:30,3246.8498999999997,302,2023-01-02 12:41:00+05:30,3253.3500999999997,CROSS_UP,-2355.9903999999847,-1963.0603999999848,88.67,304.26,392.93
LONG,2023-01-02 12:49:00+05:30,3259.256,300,2023-01-02 12:51:00+05:30,3253.743,CROSS_DOWN,-2045.2399999999761,-1653.899999999976,88.35,302.99,391.34000000000003
SHORT,2023-01-02 12:59:00+05:30,3247.4492999999998,301,2023-01-02 13:01:00+05:30,3256.4031499999996,CROSS_UP,-3086.998849999962,-2695.1088499999623,88.51,303.38,391.89
LONG,2023-01-02 13:04:00+05:30,3257.0537999999997,299,2023-01-02 13:06:00+05:30,3250.2964500000003,CROSS_DOWN,-2410.3076499998224,-2020.4476499998223,88.09,301.77,389.86
SHORT,2023-01-02 13:45:00+05:30,3251.49525,299,2023-01-02 13:47:00+05:30,3261.7584999999995,CROSS_UP,-3458.7717499998553,-3068.7117499998553,88.19,301.87,390.06
LONG,2023-01-02 13:53:00+05:30,3263.31005,297,2023-01-02 13:55:00+05:30,3257.2395,CROSS_DOWN,-2191.243349999974,-1802.9533499999739,87.79,300.5,388.29
SHORT,2023-01-02 14:16:00+05:30,3250.1466,297,2023-01-02 14:18:00+05:30,3252.7494999999994,CROSS_UP,-1160.5312999998243,-773.0612999998243,87.58,299.89,387.46999999999997
LONG,2023-01-02 14:39:00+05:30,3255.4521999999993,296,2023-01-02 14:41:00+05:30,3249.5472,CROSS_DOWN,-2134.20999999979,-1747.87999999979,87.42,298.91,386.33000000000004
SHORT,2023-01-02 15:08:00+05:30,3253.743,296,2023-01-02 15:10:00+05:30,3264.2109499999997,CROSS_UP,-3485.373199999925,-3098.513199999925,87.59,299.27,386.86
SHORT,2023-01-03 09:16:00+05:30,3248.748,295,2023-01-03 09:18:00+05:30,3259.256,CROSS_UP,-3485.0499999999442,-3099.859999999944,87.28,297.91,385.19000000000005
LONG,2023-01-03 09:32:00+05:30,3272.269,292,2023-01-03 09:34:00+05:30,3263.5332000000003,CROSS_DOWN,-2934.0935999998455,-2550.8535999998458,86.88,296.36,383.24
SHORT,2023-01-03 11:59:00+05:30,3298.54815,289,2023-01-03 12:01:00+05:30,3314.8115,CROSS_UP,-5083.598149999918,-4700.108149999918,87.04,296.45,383.49
SHORT,2023-01-03 12:16:00+05:30,3300.14655,287,2023-01-03 12:18:00+05:30,3307.3039999999996,CROSS_UP,-2435.3481499999134,-2054.1881499999135,86.46,294.7,381.15999999999997
LONG,2023-01-03 12:36:00+05:30,3309.3059999999996,286,2023-01-03 12:38:00+05:30,3301.2454500000003,CROSS_DOWN,-2685.437299999782,-2305.3172999997823,86.28,293.84,380.12
SHORT,2023-01-03 12:47:00+05:30,3300.3463500000003,286,2023-01-03 12:49:00+05:30,3305.7023999999997,CROSS_UP,-1911.8102999998323,-1531.8302999998323,86.21,293.77,379.97999999999996
LONG,2023-01-03 13:01:00+05:30,3306.6533499999996,284,2023-01-03 13:03:00+05:30,3299.84685,CROSS_DOWN,-2310.6759999999113,-1933.0459999999111,85.79,291.84,377.63
SHORT,2023-01-03 13:06:00+05:30,3297.7989,284,2023-01-03 13:08:00+05:30,3304.3510499999998,CROSS_UP,-2238.2305999999953,-1860.8105999999952,85.75,291.67,377.42
LONG,2023-01-03 13:13:00+05:30,3309.3059999999996,283,2023-01-03 13:15:00+05:30,3304.692,CROSS_DOWN,-1682.6719999998807,-1305.7619999998806,85.62,291.29,376.91
SHORT,2023-01-03 13:28:00+05:30,3301.2454500000003,283,2023-01-03 13:30:00+05:30,3313.0096999999996,CROSS_UP,-3705.982749999792,-3329.282749999792,85.69,291.01,376.7
